steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10	1	0.08651900291442871	5.650117498877917	5.993498887945019	2.4211163168326224	9.077015619704042	1.8931881196301021	-0.19851094952252443	0	0
20	2	0.17415094375610352	4.363207055514948	4.760417724928523	2.279530131054343	7.414821569582925	1.0919568899682557	-0.29822714433435643	0	0
30	3	0.24744367599487305	5.090852336734615	5.386143399616266	1.7930231855631102	7.393459017728574	0.6811280882996655	-0.3254589304863183	0	0
40	4	0.3156893253326416	5.331312156459289	4.996378438584599	2.3935860278969723	9.337638001264043	1.6954978350355536	-0.43818211789463	0	0
50	5	0.3832385540008545	4.989260668499187	5.143204191773232	1.0174789613898423	7.122621590019922	3.3110346416572463	-0.41503599444978306	0	0
60	6	0.47343015670776367	3.985061124030535	3.8398281312905262	1.4841972218611503	6.972045358245989	2.2930984158617465	-0.5081398342045145	0	0
70	7	0.5908195972442627	4.757735900143051	4.412710266678618	1.7846371301137707	8.966576823943251	2.32927146604311	-0.6235514193994199	0	0
80	8	0.666496992111206	4.779681792811595	4.654672873421198	2.029829170301019	7.41511506946413	0.8312213447453475	-0.6332372326060483	0	0
90	9	0.7407290935516357	5.181404035436782	5.178594874625082	2.5496240821254155	9.128106046239031	1.769622817345092	-0.7119792627182175	0	0
100	10	0.8120675086975098	5.1366543408557215	5.3754775351725	2.9109623819690715	8.995582183447146	0.4053371600617437	-0.7872825384380218	0	0
110	11	0.9331228733062744	6.30733903707796	6.145664539563777	2.0745082440168656	9.720465872460718	3.4415736617835155	-0.6565245993907756	0	0
120	12	1.0245485305786133	6.544881179269343	6.311297475939995	1.5357143202055772	9.180393992633594	5.017108504664809	-0.7598379893952938	0	0
130	13	1.1064653396606445	5.063547739073187	5.0327546258244045	2.1681369428272657	9.690948653888883	1.6280930164800518	-0.7008458916752421	0	0
140	14	1.181206464767456	5.319801418080676	5.960907375861401	2.7916559299763946	9.63597943222567	1.4564013437716103	-0.6590878140184783	0	0
150	15	1.2516217231750488	5.929322448223113	5.555087210783054	2.034306435142518	9.848072949724997	2.284429818799559	-0.6594506326913812	0	0
160	16	1.320396900177002	4.36665887885262	4.084617986683799	2.0557451980604124	7.4205991799224105	0.7315876305636451	-0.6480382261250143	0	0
170	17	1.387582540512085	4.385300018281516	4.686932704966031	2.554390458260322	8.286184242808623	0.6020819224341297	-0.6647925297384512	0	0
180	18	1.4571573734283447	6.802766816778151	7.307753627635151	2.0323430041006114	9.251543325729859	3.595375089113368	-0.5881097403903938	0	0
190	19	1.5331368446350098	6.983591008291117	7.286966060548981	2.04784182388877	9.261052997993248	3.6168059695798336	-0.6776661583850868	0	0
200	20	1.6056573390960693	4.8501607846958485	4.822455278693191	1.6031157419918183	7.400297241711403	2.4127890924598043	-0.7318911639700612	0	0
210	21	1.6773607730865479	4.686176240285744	4.6413420257873295	2.531922700197861	8.813314766905938	0.9871878599779791	-0.710607105984556	0	0
220	22	1.7455308437347412	4.865601400622568	4.696103213135908	0.8662898124258448	6.0094523410578145	3.5894792107450195	-0.6678729358826354	0	0
230	23	1.814931869506836	5.148349967451461	4.971162855046119	1.5191713965057623	7.993325804571924	2.653915978673128	-0.6997360943731668	0	0
240	24	1.9457578659057617	4.653959975929672	4.85162339936759	1.54277036455842	7.002773260957618	1.6675713200742526	-0.7249195538672126	0	0
250	25	2.088149309158325	5.361094351910063	4.780363153674896	1.8871992261768946	8.279249453067143	2.9660199858339054	-0.8118280175103659	0	0
260	26	2.1977779865264893	5.608773650433403	5.858154729363266	3.2129988752673615	9.317315089903214	1.1876280323733357	-0.893829554085277	0	0
270	27	2.289074659347534	6.096165732657205	5.868922539869072	1.527744231727868	9.41477454016296	3.7428091197488715	-0.9537902623498091	0	0
280	28	2.3840527534484863	5.379430033199595	5.679178956872963	2.03941422191073	8.45071186946992	0.6573906736715553	-0.9502944222973327	0	0
290	29	2.4828341007232666	4.7049075036755745	4.809726481843535	1.7308930750755587	7.803615552590538	2.381528929101431	-0.9759591432979009	0	0
300	30	2.554959535598755	5.012330730661927	5.093054954586313	1.221018637163614	6.528220440407032	3.2366604922361084	-0.9749271390885079	0	0
310	31	2.623317003250122	4.754347312754008	5.280898915336091	2.397265209845282	8.785065312075847	0.27780751471185305	-0.959762173505	0	0
320	32	2.692791700363159	4.447187104876253	4.431604477374798	1.9340951855287847	8.244710238627713	1.8830496521758788	-0.878944289666325	0	0
330	33	2.760202646255493	3.2966714693501302	3.724152469169211	1.776002797779053	5.659016974156942	0.1797468163703848	-0.9221098260827717	0	0
340	34	2.831684112548828	4.742147902231202	5.090320319242339	2.11410130994817	7.51947062132055	1.0900128831474478	-0.867991317971519	0	0
350	35	2.955998420715332	6.159203465489167	6.784095780741946	2.1421721617172715	9.138333642359013	1.7582875826128868	-0.8669993846336131	0	0
360	36	3.036463737487793	6.20184859491587	6.344178624229928	1.7259553643761438	8.960932935508515	3.732205112321008	-0.8592932214683414	0	0
370	37	3.1084864139556885	4.5662364912616535	3.8912629771096565	3.0529364677703317	8.925640892830987	0.11297630848916485	-0.8793354192247598	0	0
380	38	3.1802706718444824	5.665115619501062	5.633961381378327	2.298488619931633	8.965255449341313	1.97750783108446	-0.8468046680450174	0	0
390	39	3.2454586029052734	5.186487042984831	5.673639156919505	2.0715875627845945	8.097790844726447	0.19583292095218385	-0.8677731223189777	0	0
400	40	3.311415195465088	5.934381453397886	5.221569083607456	2.649672562072146	9.359806816276512	2.8171144727749535	-0.9146734783373361	0	0
410	41	3.379300117492676	6.084784848924252	6.444054037643214	2.290992816999623	9.414500630241353	1.7921715909676692	-0.9074548073245791	0	0
